# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.01.2018 08:00";"3.4";"707.2";"760.6";"0.0";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"1.0";"4.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"2.4";"Trace of precipitation";"12";"";"";"";"";
"11.01.2018 05:00";"3.8";"707.2";"760.6";"-1.0";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"1.0";"4.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.8";"";"";"";"";"";"";
"11.01.2018 02:00";"3.0";"708.2";"761.8";"-1.3";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"1.0";"3.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.5";"No precipitation";"6";"";"";"";"";
"10.01.2018 23:00";"1.8";"709.5";"763.3";"-1.0";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"1.0";"3.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"0.2";"";"";"";"";"";"";
"10.01.2018 20:00";"3.0";"710.5";"764.2";"-0.8";"87";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"2.5";"6.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"1.0";"No precipitation";"12";"";"";"";"";
"10.01.2018 17:00";"5.2";"711.3";"764.6";"-0.7";"76";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"3.2";"6.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"12.0";"1.3";"";"";"";"";"";"";
"10.01.2018 14:00";"6.0";"712.0";"765.1";"-2.4";"80";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"3.2";"6.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"16.0";"2.7";"No precipitation";"6";"";"";"";"";
"10.01.2018 11:00";"4.4";"714.4";"768.1";"-1.5";"85";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"3.2";"4.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"18.0";"2.0";"";"";"";"";"";"";
"10.01.2018 08:00";"3.8";"715.9";"769.9";"-0.8";"87";"Wind blowing from the east-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"3.4";"4.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"14.0";"1.8";"No precipitation";"12";"";"";"";"";
"10.01.2018 05:00";"4.1";"716.7";"770.6";"-1.5";"84";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"3.5";"4.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"13.0";"1.6";"";"";"";"";"";"";
"10.01.2018 02:00";"3.8";"718.2";"772.3";"-0.9";"87";"Wind blowing from the east-southeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"3.5";"4.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"13.0";"1.8";"No precipitation";"6";"";"";"";"";
"09.01.2018 23:00";"4.0";"719.1";"773.2";"-0.8";"86";"Wind blowing from the east-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"3.5";"4.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"13.0";"1.8";"";"";"";"";"";"";
